ho,dl,err,gt,got
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.3379874575066309,0.3379874575066308
mediation,P(X=1),3.3306690738754696e-16,0.7449048661470259,0.7449048661470262
mediation,P(V2=1),5.551115123125783e-17,0.44836063157318357,0.4483606315731835
mediation,P(Y=1),0.0007505704472301478,0.5917817654744182,0.5925323359216483
mediation,ATE(Y | X),0.0,0.3417146134802889,0.3417146134802889
mediation,ETT(Y | X),0.0,0.3417146134802889,0.3417146134802889
mediation,NDE(Y | X),2.220446049250313e-16,0.417238097353308,0.41723809735330825
mediation,NIE(Y | X),5.551115123125783e-17,-0.07947340546828674,-0.0794734054682868
mediation,P(Y=1 | X=1),0.0,0.6112275940148618,0.6112275940148618
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.5790960830949635,0.5790960830949636
mediation,P(X=1),3.3306690738754696e-16,0.7610991735856242,0.7610991735856245
mediation,P(V2=1),3.3306690738754696e-16,0.40164700441206824,0.4016470044120679
mediation,P(Y=1),0.00238516378295206,0.6011661857192035,0.6035513495021556
mediation,ATE(Y | X),1.1102230246251565e-16,0.0321315109198983,0.03213151091989819
mediation,ETT(Y | X),1.1102230246251565e-16,0.0321315109198983,0.03213151091989819
mediation,NDE(Y | X),1.1102230246251565e-16,0.3512350192790512,0.3512350192790513
mediation,NIE(Y | X),3.885780586188048e-16,-0.3322212569700663,-0.3322212569700667
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.7464435411994194,0.7464435411994195
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.442643672503377,0.44264367250337694
mediation,P(X=1),6.661338147750939e-16,0.8361792462561682,0.8361792462561689
mediation,P(V2=1),0.0,0.6423770611325295,0.6423770611325295
mediation,P(Y=1),3.0471762360040344e-05,0.6966443459599968,0.6966748177223568
mediation,ATE(Y | X),2.220446049250313e-16,0.30379986869604236,0.3037998686960426
mediation,ETT(Y | X),2.220446049250313e-16,0.30379986869604236,0.3037998686960426
mediation,NDE(Y | X),4.440892098500626e-16,0.4073751613223018,0.4073751613223022
mediation,NIE(Y | X),5.551115123125783e-17,-0.10379774101719413,-0.10379774101719408
mediation,P(Y=1 | X=1),2.220446049250313e-16,0.5494858819709971,0.5494858819709969
mediation,P(Y=1 | X=0),1.6653345369377348e-16,0.49838483541179845,0.4983848354117986
mediation,P(X=1),4.440892098500626e-16,0.6942121042451397,0.6942121042451401
mediation,P(V2=1),1.1102230246251565e-16,0.48432216195449507,0.48432216195449496
mediation,P(Y=1),0.0023423044175291396,0.5315174960552594,0.5338598004727886
mediation,ATE(Y | X),2.220446049250313e-16,0.05110104655919867,0.05110104655919845
mediation,ETT(Y | X),2.220446049250313e-16,0.05110104655919867,0.05110104655919845
mediation,NDE(Y | X),0.0,0.3130970347864077,0.3130970347864077
mediation,NIE(Y | X),2.7755575615628914e-16,-0.27302993451049395,-0.27302993451049423
mediation,P(Y=1 | X=1),0.0,0.6173315643863028,0.6173315643863028
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.3909760310080238,0.3909760310080237
mediation,P(X=1),3.3306690738754696e-16,0.7061610941102016,0.7061610941102019
mediation,P(V2=1),1.6653345369377348e-16,0.3491362389065834,0.34913623890658324
mediation,P(Y=1),0.0006237878281336595,0.5501957142881939,0.5508195021163276
mediation,ATE(Y | X),1.1102230246251565e-16,0.22635553337827896,0.22635553337827907
mediation,ETT(Y | X),1.1102230246251565e-16,0.22635553337827896,0.22635553337827907
mediation,NDE(Y | X),3.3306690738754696e-16,0.4133978034555451,0.41339780345554544
mediation,NIE(Y | X),1.3877787807814457e-16,-0.19004851120144023,-0.19004851120144037
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.6639279397187381,0.6639279397187382
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.5585515497030624,0.5585515497030625
mediation,P(X=1),4.440892098500626e-16,0.7789596406165591,0.7789596406165595
mediation,P(V2=1),3.3306690738754696e-16,0.39972367851694424,0.3997236785169439
mediation,P(Y=1),0.00021207283987845216,0.6404234317592652,0.6406355045991436
mediation,ATE(Y | X),1.1102230246251565e-16,0.10537639001567567,0.10537639001567578
mediation,ETT(Y | X),1.1102230246251565e-16,0.10537639001567567,0.10537639001567578
mediation,NDE(Y | X),2.220446049250313e-16,0.34005920210823526,0.3400592021082355
mediation,NIE(Y | X),2.7755575615628914e-16,-0.23591449387365,-0.23591449387365027
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.8578713022351361,0.8578713022351362
mediation,P(Y=1 | X=0),1.6653345369377348e-16,0.20856694023396785,0.20856694023396768
mediation,P(X=1),4.440892098500626e-16,0.8147265047629345,0.814726504762935
mediation,P(V2=1),3.3306690738754696e-16,0.6705690098399286,0.670569009839929
mediation,P(Y=1),0.0028551573538520003,0.7404275709683592,0.7375724136145072
mediation,ATE(Y | X),3.3306690738754696e-16,0.6493043620011683,0.6493043620011686
mediation,ETT(Y | X),3.3306690738754696e-16,0.6493043620011683,0.6493043620011686
mediation,NDE(Y | X),1.1102230246251565e-16,0.43613423713952604,0.4361342371395259
mediation,NIE(Y | X),1.6653345369377348e-16,0.2320850622660565,0.23208506226605666
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5240833070331719,0.5240833070331717
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.40578163418245156,0.4057816341824516
mediation,P(X=1),1.1102230246251565e-16,0.6780616515306354,0.6780616515306355
mediation,P(V2=1),2.220446049250313e-16,0.39833250694667865,0.39833250694667843
mediation,P(Y=1),0.0025434339904779613,0.4834540278639699,0.48599746185444787
mediation,ATE(Y | X),0.0,0.1183016728507203,0.1183016728507203
mediation,ETT(Y | X),0.0,0.1183016728507203,0.1183016728507203
mediation,NDE(Y | X),3.3306690738754696e-16,0.3298267280944644,0.3298267280944647
mediation,NIE(Y | X),3.3306690738754696e-16,-0.22317646768865126,-0.2231764676886516
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.7669065107346452,0.7669065107346453
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.4635605609224159,0.4635605609224158
mediation,P(X=1),3.3306690738754696e-16,0.7709358074429803,0.7709358074429806
mediation,P(V2=1),0.0,0.6007725118535229,0.6007725118535229
mediation,P(Y=1),0.0019859723839689147,0.6994067880594338,0.6974208156754649
mediation,ATE(Y | X),2.220446049250313e-16,0.30334594981222934,0.30334594981222957
mediation,ETT(Y | X),2.220446049250313e-16,0.30334594981222934,0.30334594981222957
mediation,NDE(Y | X),6.661338147750939e-16,0.5015578120273563,0.5015578120273569
mediation,NIE(Y | X),5.551115123125783e-17,-0.18696586990869724,-0.1869658699086973
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5934609028007223,0.5934609028007224
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.38990518388359585,0.3899051838835959
mediation,P(X=1),3.3306690738754696e-16,0.7303946038920807,0.730394603892081
mediation,P(V2=1),1.6653345369377348e-16,0.3809701390323214,0.38097013903232124
mediation,P(Y=1),0.001393913685169057,0.5371872688868693,0.5385811825720384
mediation,ATE(Y | X),1.6653345369377348e-16,0.20355571891712643,0.2035557189171266
mediation,ETT(Y | X),1.6653345369377348e-16,0.20355571891712643,0.2035557189171266
mediation,NDE(Y | X),1.6653345369377348e-16,0.31526118910447387,0.31526118910447404
mediation,NIE(Y | X),2.220446049250313e-16,-0.1187841088796544,-0.11878410887965463
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.6899389338502377,0.6899389338502379
